"state_fips","county_fips","pop1996","pop1997","pop1998","pop1999","state","county","pop2000","pop2001","pop2002","pop2003","pop2004","pop2005","pop2006","pop2007","pop2008","pop2009","pop2010","pop2011","pop2012","pop2013","pop2014","pop2015","pop2016","pop2017","pop2018","pop2019"
1,1,40251,41293,42193,43140,"Alabama","Autauga",43872,44434,45157,45762,46933,47870,49105,49834,50354,50756,54773,55227,54954,54727,54893,54864,55243,55390,55533,55869
1,101,217605,217715,217392,215813,"Alabama","Montgomery",223413,222901,222936,222486,222085,222220,225333,225648,224525,224119,229505,229189,228874,228190,227551,227279,227170,227265,226504,226486
1,103,107397,108377,109218,109665,"Alabama","Morgan",111194,111494,111397,112287,112210,112951,114297,115148,116297,117293,119608,120024,120102,119571,119444,119257,119006,118918,119203,119679
1,105,12605,12605,12682,12610,"Alabama","Perry",11808,11632,11521,11241,11078,10787,10554,10726,10753,10623,10563,10450,10163,9999,9801,9640,9532,9302,9070,8923
1,107,20982,20946,21019,21028,"Alabama","Pickens",20904,20823,20708,20316,20096,19834,19698,19503,19385,19218,19749,19354,19309,19300,20272,20776,20325,20204,19980,19930
1,109,28359,28540,28648,28469,"Alabama","Pike",29734,29631,29279,29413,29727,29685,29975,30186,30371,30461,32970,33025,33215,33715,33199,33496,33464,33349,33242,33114
1,11,11307,11310,11325,11343,"Alabama","Bullock",11604,11381,11261,11305,11038,10975,10739,10966,10921,10985,10876,10675,10606,10549,10663,10400,10389,10176,10174,10101
1,111,20209,19962,20025,20263,"Alabama","Randolph",22414,22470,22429,22268,22394,22472,22461,22389,22620,22577,22937,22745,22533,22547,22353,22594,22504,22687,22727,22722
1,113,51602,50737,50368,50071,"Alabama","Russell",49692,49408,49188,48684,48980,49094,49695,50227,50285,50846,53321,54852,57500,59149,59224,58844,58185,56985,57784,57961
1,115,59380,60648,62018,63852,"Alabama","St.",65079,66013,67090,68292,69966,72004,75223,78515,80287,81895,83571,83975,84761,85810,85996,86546,87306,87926,88654,89512
1,117,130157,135805,140853,146392,"Alabama","Shelby",144523,149280,153918,159608,165723,171678,178840,183478,188483,192503,196032,197952,200912,204039,206280,208959,211282,213633,215583,217702
1,119,16164,15901,15765,15615,"Alabama","Sumter",14748,14555,14143,13996,13869,13640,13471,13269,13102,12853,13730,13490,13440,13394,13270,13206,12967,12749,12634,12427
1,121,76418,76648,77025,77521,"Alabama","Talladega",80338,80291,80247,79776,79746,79902,80124,80186,80495,80242,82172,81863,82146,81578,81512,81128,80552,80142,80137,79978
1,123,40077,40287,40360,40329,"Alabama","Tallapoosa",41743,41390,40947,40693,40605,40445,40719,40797,40920,41008,41476,41402,41048,41028,40884,40605,40586,40613,40535,40367
1,125,158511,159878,160761,161435,"Alabama","Tuscaloosa",165191,166110,166610,167484,169051,172060,176899,178998,181780,184035,194996,196745,198807,201084,203086,204767,206464,207618,208319,209355
1,127,70177,70677,71006,71318,"Alabama","Walker",70680,70577,70097,69514,69153,69124,68978,68655,68903,68742,66997,66585,66104,65777,65338,64931,64533,63895,63669,63521
1,129,17425,17585,17663,17742,"Alabama","Washington",18112,17890,17795,17743,17579,17410,17369,17124,17088,17069,17626,17355,17146,16897,16868,16832,16621,16522,16402,16326
1,13,21801,21769,21658,21522,"Alabama","Butler",21313,21036,20607,20536,20476,20338,20231,20243,20171,19964,20932,20866,20670,20356,20327,20162,20012,19888,19631,19448
1,131,13604,13455,13451,13414,"Alabama","Wilcox",12980,12908,12928,12781,12721,12642,12538,12580,12617,12384,11560,11438,11302,11145,10946,10896,10844,10691,10599,10373
1,133,23735,23970,24130,24459,"Alabama","Winston",24882,24546,24468,24350,24307,24236,24321,24326,24068,23997,24412,24362,24193,24189,24139,23930,23907,23760,23693,23629
1,15,116577,117132,117083,116541,"Alabama","Calhoun",111342,111019,110860,111378,111615,112081,112453,112808,113422,114081,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605
1,17,36857,36640,36706,36369,"Alabama","Chambers",36593,36281,35952,35626,35387,35173,34822,34731,34473,34320,34122,34033,34104,34139,33977,33996,33745,33707,33600,33254
1,19,21281,21601,21827,21894,"Alabama","Cherokee",24053,24078,24143,24159,24291,24268,24531,24474,24413,24448,25963,25989,25958,26017,25895,25732,25768,25805,26014,26196
1,21,35631,36310,36926,37604,"Alabama","Chilton",39781,40030,40460,40776,41170,41510,41821,42362,42696,42971,43653,43689,43582,43628,43760,43700,43866,44120,44163,44428
1,23,15989,15883,15829,15518,"Alabama","Choctaw",15850,15652,15342,15168,14894,14507,14389,14178,14083,13990,13849,13609,13563,13397,13317,13231,13045,12925,12833,12589
1,25,28077,28606,28531,28756,"Alabama","Clarke",27833,27634,27273,27076,26944,26740,26729,26416,26264,26042,25766,25587,25155,25123,24864,24698,24340,24063,23918,23622
1,27,13633,13841,13966,14012,"Alabama","Clay",14264,14257,14173,14066,13939,13847,13777,13772,13807,13640,13898,13687,13434,13404,13441,13415,13393,13350,13294,13235
1,29,13521,14090,14283,14456,"Alabama","Cleburne",14156,14196,14376,14378,14264,14276,14433,14692,14736,14759,15004,14928,14889,14976,15026,14914,14848,14899,15010,14910
1,3,124261,128770,132857,135820,"Alabama","Baldwin",141358,144988,148141,151707,156573,162564,168516,172815,176212,179878,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234
1,31,42124,42041,42222,42128,"Alabama","Coffee",43540,43581,43759,44186,44712,45159,45639,46806,47773,48635,50208,50444,51141,50681,50657,50963,51202,51853,51950,52342
1,33,52630,53094,52924,52552,"Alabama","Colbert",55024,54841,54594,54319,54427,54399,54462,54606,54626,54639,54524,54539,54570,54529,54462,54417,54497,54695,55004,55241
1,35,14176,14032,13863,13728,"Alabama","Conecuh",14040,13894,13699,13436,13238,13176,13309,13118,13038,12931,13236,13195,13046,12912,12677,12678,12500,12431,12292,12067
1,37,11551,11585,11637,11712,"Alabama","Coosa",11843,11746,11539,11423,11156,10964,10857,10783,10724,10556,11780,11486,11346,11254,11037,10934,10819,10724,10643,10663
1,39,37414,37432,37461,37587,"Alabama","Covington",37490,36939,36661,36495,36322,36594,36717,36804,36646,36678,37809,38020,37805,37814,37760,37556,37382,37062,36953,37049
1,41,13580,13694,13626,13619,"Alabama","Crenshaw",13696,13700,13580,13562,13602,13541,13688,13741,13686,13781,13869,13894,13915,13847,13851,13850,13916,13858,13825,13772
1,43,73409,74086,74944,75661,"Alabama","Cullman",77580,77661,77814,78110,78711,79382,79871,80602,81518,81778,80456,80410,80279,80690,81068,81761,82450,82867,83418,83768
1,45,49453,49101,48916,49127,"Alabama","Dale",49068,49001,49070,49052,48691,48319,48038,48263,48400,48147,50394,50122,50289,49771,49414,49365,49362,49342,49143,49172
1,47,47350,47109,46803,46669,"Alabama","Dallas",46181,45910,44944,44504,43927,43358,43050,42780,42627,41925,43854,43251,42789,41976,41554,40936,40080,39238,38294,37196
1,49,57374,57653,58274,58948,"Alabama","DeKalb",64638,65519,65545,66009,66574,66920,67447,68275,68894,69380,71163,71365,70944,70912,70993,71087,71104,71437,71407,71513
1,5,26866,26747,26936,26726,"Alabama","Barbour",29035,29223,29289,29480,29458,29452,29556,29736,29836,29737,27327,27341,27169,26937,26755,26283,25806,25157,24872,24686
1,51,58573,60340,61985,63488,"Alabama","Elmore",66230,67566,68822,70151,71276,73241,75511,77459,78125,79233,79552,79993,80193,80536,80538,80872,81204,81422,81011,81209
1,53,36388,36622,36732,36671,"Alabama","Escambia",38402,38430,38319,38028,37888,37642,37572,37623,37532,37434,38345,38204,38023,37765,37735,37661,37475,36993,36524,36633
1,55,102757,103758,103923,103472,"Alabama","Etowah",103313,102914,102815,102698,102657,102602,102854,103216,103435,103645,104459,104369,104278,103884,103399,102998,102855,103007,102611,102268
1,57,18061,18110,18096,18103,"Alabama","Fayette",18456,18341,18244,18145,17998,18012,17758,17538,17577,17371,17229,17052,16945,16824,16772,16696,16563,16466,16445,16302
1,59,29402,29606,29684,29716,"Alabama","Franklin",31208,31112,30766,30684,30533,30673,30791,30627,31051,31091,31746,31776,31690,31553,31559,31515,31611,31542,31298,31362
1,61,24753,24845,24875,24968,"Alabama","Geneva",25790,25528,25458,25481,25458,25584,25769,25717,25971,25961,26777,26756,26924,26677,26593,26631,26494,26385,26306,26271
1,63,9971,9931,9843,9756,"Alabama","Greene",9946,9864,9840,9697,9534,9472,9119,9100,9039,8829,8991,8903,8848,8748,8584,8508,8482,8310,8209,8111
1,65,16358,16442,16750,16870,"Alabama","Hale",18288,18271,18047,18013,17876,17921,17901,18091,18083,17975,15745,15361,15364,15246,15046,15015,14828,14801,14749,14651
1,67,15570,15699,15798,15787,"Alabama","Henry",16344,16301,16326,16370,16432,16424,16555,16653,16623,16647,17296,17377,17153,17129,17079,17101,17072,17115,17173,17205
1,69,84699,85133,85613,86116,"Alabama","Houston",88919,89437,89849,91147,92374,93614,95511,97392,98852,100085,101798,102488,103371,103643,104158,104260,104218,104378,104770,105882
1,7,18256,18639,18987,19601,"Alabama","Bibb",19936,20942,20983,21037,21208,21375,21285,21485,21589,21587,22870,22745,22667,22521,22553,22566,22586,22550,22367,22394
1,71,50654,50704,51339,51535,"Alabama","Jackson",54029,53972,53648,53483,53217,52923,52998,52796,52934,52838,53184,53214,53079,52957,52562,52195,51988,51828,51621,51626
1,73,662376,660202,660039,657422,"Alabama","Jefferson",662214,661494,659766,660486,660016,659715,661447,661477,663394,665027,658215,658109,658061,659265,659972,660455,660343,659599,659429,658573
1,75,15888,15957,16012,16034,"Alabama","Lamar",15905,15561,15317,15065,14828,14707,14456,14484,14341,14200,14496,14291,14248,14212,14067,13927,13928,13882,13882,13805
1,77,83973,83909,84206,84327,"Alabama","Lauderdale",87982,87393,86872,86944,87203,87437,87992,88522,89200,89599,92737,92607,92662,92701,93000,92459,92425,92564,92604,92729
1,79,33079,33278,33447,33795,"Alabama","Lawrence",34856,34836,34643,34393,34204,34293,33875,34151,34047,34106,34342,34051,33806,33575,33444,33135,33227,33063,32941,32924
1,81,95402,98438,100481,102164,"Alabama","Lee",115511,116759,118197,119631,121698,125350,128217,130791,133105,135883,140794,144130,148567,151809,154511,156954,159168,161440,163656,164542
1,83,59998,61135,62247,63037,"Alabama","Limestone",65930,66643,67108,67685,68407,69792,71795,73909,76314,78572,83181,85557,87326,88916,90599,91565,92847,94130,96177,98915
1,85,12838,12876,12984,13029,"Alabama","Lowndes",13487,13451,13459,13316,13033,12898,12711,12664,12592,12293,11289,11140,10851,10661,10494,10350,10248,10097,9974,9726
1,87,23533,23074,23207,22993,"Alabama","Macon",24075,23980,23651,23470,23041,22736,22544,22258,22195,21789,21505,21284,20608,20021,19641,19296,19060,18793,18321,18068
1,89,270331,272382,278008,280381,"Alabama","Madison",277868,281264,286037,290763,294814,300272,307509,313796,320914,327744,336095,339565,342730,346625,349796,352977,356729,361762,367004,372909
1,9,43544,44897,46292,47411,"Alabama","Blount",51181,51999,52775,53726,54469,55035,55978,56866,57794,58345,57376,57560,57580,57619,57526,57526,57494,57787,57771,57826
1,91,23440,23508,23375,23158,"Alabama","Marengo",22566,22179,22161,21930,21649,21405,21335,21265,21100,20943,20956,20661,20375,20119,19986,19766,19525,19396,19056,18863
1,93,30882,30914,30857,30464,"Alabama","Marion",31149,30588,30235,29972,29712,29493,29585,29501,29378,29116,30816,30652,30484,30224,30199,30119,29960,29792,29750,29709
1,95,79322,79951,80192,80524,"Alabama","Marshall",82333,82191,82922,83592,84161,85298,86760,87970,89200,90399,93122,93895,94260,94356,94257,94585,95113,95572,96170,96774
1,97,396444,398229,398886,399652,"Alabama","Mobile",400061,400094,398417,397707,397521,398369,402199,405234,409132,411721,413315,413068,413816,413918,414149,414462,414945,414045,413908,413210
1,99,24391,24147,24005,23960,"Alabama","Monroe",24281,24004,23803,23532,23351,23169,22986,22759,22648,22389,23005,22796,22581,22170,21926,21717,21548,21290,21062,20733
13,1,16294,16386,16547,16675,"Georgia","Appling",17408,17458,17513,17729,17726,17713,17682,17905,18044,18011,18334,18459,18385,18370,18472,18423,18428,18438,18526,18386
13,101,2342,2407,2361,2534,"Georgia","Echols",3794,3816,3823,3946,4062,4116,4113,4155,4190,4213,4015,4064,3967,3993,4032,4030,3956,3914,4000,4006
13,103,33172,35053,36565,38370,"Georgia","Effingham",37812,39310,41088,42630,44288,46508,48787,50838,52110,53541,52464,52692,53330,54419,55410,57076,58699,60086,62228,64296
13,105,19220,19190,19322,19363,"Georgia","Elbert",20497,20581,20656,20610,20735,20633,20679,20613,20575,20372,20100,19820,19576,19490,19387,19302,19136,19102,19095,19194
13,107,20960,20993,21017,21042,"Georgia","Emanuel",21862,21778,21710,21859,21757,22045,22455,22554,22973,23075,22607,22492,22732,22631,22482,22471,22406,22533,22607,22646
13,109,9535,9706,9923,10089,"Georgia","Evans",10564,10807,11061,11239,11192,11244,11307,11395,11587,11695,11021,10980,10678,10794,10811,10690,10648,10741,10702,10654
13,11,11867,12475,12821,13166,"Georgia","Banks",14504,14841,15136,15332,15593,15913,16121,16443,16665,16799,18410,18249,18131,18221,18226,18381,18325,18628,18972,19234
13,111,17744,18152,18575,18945,"Georgia","Fannin",19947,20325,20876,21146,21527,21737,22233,22555,22701,22945,23685,23648,23615,23831,23863,24442,25032,25332,25981,26188
13,113,81796,85050,88733,92378,"Georgia","Fayette",92082,94216,95988,98032,99951,102556,104842,105933,106398,106788,106938,107156,107315,108054,109199,110141,111218,112553,113181,114421
13,115,84276,84743,85138,85512,"Georgia","Floyd",90811,91165,92612,93461,93864,94159,94973,95117,95696,96250,96431,96161,95940,95880,95868,96186,96698,97500,97964,98498
13,117,69137,76333,86409,96686,"Georgia","Forsyth",100467,108680,116127,123112,130225,138386,148196,158369,168098,174520,176723,181794,186793,193801,202598,211250,220481,228940,236993,244252
13,119,18131,18541,19061,19311,"Georgia","Franklin",20336,20681,20861,21053,21239,21473,21646,21833,21804,21748,22074,21972,21916,22045,22175,22267,22316,22864,23034,23349
13,121,714882,723708,737222,744827,"Georgia","Fulton",817145,846877,862931,881850,905802,934242,963596,990790,1013356,1033756,925632,947469,973221,981472,991847,1005127,1022866,1038938,1050131,1063937
13,123,16816,17994,18747,19766,"Georgia","Gilmer",23743,24397,25151,25868,26537,27236,28153,28578,28918,29021,28339,28325,28288,28717,28994,29514,29911,30443,30835,31369
13,125,2453,2485,2514,2544,"Georgia","Glascock",2562,2548,2556,2554,2609,2613,2708,2769,2790,2801,3079,3103,3107,3060,3008,3020,2978,3032,2977,2971
13,127,65857,66512,67187,67945,"Georgia","Glynn",67660,68380,69057,69913,70566,71469,73447,74753,76044,76820,79744,80111,80866,81497,82177,83311,84099,84675,84975,85292
13,129,39215,40260,41078,41966,"Georgia","Gordon",44388,45560,46568,47550,48653,49608,50931,52005,52964,53292,55257,55520,55687,55761,55836,56324,56933,57164,57628,57963
13,13,37435,38909,40438,41891,"Georgia","Barrow",46561,48461,50982,53069,56198,59390,63317,67170,70255,72158,69676,69844,70135,71239,72849,74979,77000,78899,80834,83240
13,131,21460,21491,21416,21600,"Georgia","Grady",23647,23695,23745,23852,24000,24228,24621,24911,25056,25187,25021,25097,25270,25101,25215,25089,24869,24773,24774,24633
13,133,13024,13363,13663,14094,"Georgia","Greene",14451,14762,15017,15127,15298,15415,15486,15736,15765,15743,15976,16050,16118,16243,16418,16617,16869,17203,17733,18324
13,135,476790,500644,522666,545632,"Georgia","Gwinnett",596296,621798,644753,666768,691986,716436,746975,772464,790519,808167,808007,822415,836844,853459,870986,888494,904962,918186,927337,936250
13,137,30658,31226,31734,32530,"Georgia","Habersham",36123,36990,37555,38188,38668,39323,40873,42164,42975,43613,43061,43043,43377,43154,43564,43792,44104,44535,45373,45328
13,139,112170,115821,119334,123290,"Georgia","Hall",140886,146870,151775,155887,159745,165245,171867,178838,184731,187743,180033,182269,184102,186431,189142,192245,196159,198953,201538,204441
13,141,8961,8998,9139,9046,"Georgia","Hancock",10056,9986,9729,9627,9524,9449,9431,9623,9524,9219,9433,9395,9079,8952,8571,8578,8633,8539,8368,8457
13,143,23744,24187,24590,25070,"Georgia","Haralson",25832,26298,26752,27297,27715,28090,28256,28708,28849,28890,28758,28465,28310,28335,28487,28702,28830,29248,29561,29792
13,145,21275,22214,22297,22634,"Georgia","Harris",23797,24322,24969,25743,26523,27339,28296,29112,29535,30138,32149,32307,32570,32532,32737,33155,33633,33943,34560,35236
13,147,21024,21512,21793,22124,"Georgia","Hart",23054,22985,23124,23119,23568,23867,24129,24123,24252,24067,25240,25417,25513,25456,25362,25410,25471,25710,26071,26205
13,149,9800,9993,10088,10490,"Georgia","Heard",11085,11163,11190,11099,11167,11220,11382,11424,11561,11528,11841,11731,11652,11564,11623,11556,11579,11751,11871,11923
13,15,66231,69216,71937,74607,"Georgia","Bartow",76703,79513,82246,84440,86145,88150,90369,92717,94999,96217,100050,100116,100240,100917,101233,102043,103338,105098,106378,107738
13,151,90954,97731,104925,113443,"Georgia","Henry",121572,130460,139800,149461,157954,166966,176995,184902,190529,195370,205039,206911,208005,210012,212957,216414,220896,225182,229728,234561
13,153,101131,103778,105638,107644,"Georgia","Houston",111248,113289,116390,119996,123811,125862,128214,131291,133470,135715,140651,143775,145827,147527,148575,149323,151622,153202,155523,157863
13,155,8791,8955,9048,9181,"Georgia","Irwin",9959,9984,9962,10007,9692,10106,10227,9967,10303,10086,9577,9676,9597,9345,9078,9135,9302,9352,9396,9416
13,157,35185,36431,37711,39057,"Georgia","Jackson",41895,43631,45467,46952,49308,51949,55777,59727,62224,63544,60696,60974,60844,61268,62101,63418,65061,67644,70325,72977
13,159,9498,9870,10166,10589,"Georgia","Jasper",11488,11631,12028,12440,12615,13025,13432,13660,13869,13953,13889,13832,13640,13597,13531,13683,13767,13882,14029,14219
13,161,12525,12681,12707,12714,"Georgia","Jeff",12720,12721,12794,12797,12861,13017,13186,13237,13462,13659,15111,15158,15192,15042,14927,15013,14965,15039,15048,15115
13,163,17798,17793,17829,17858,"Georgia","Jefferson",17246,17080,16999,16840,16752,16614,16515,16385,16409,16478,16869,16769,16347,16240,16119,15917,15755,15630,15424,15362
13,165,8447,8451,8446,8401,"Georgia","Jenkins",8594,8607,8588,8560,8540,8581,8613,8542,8472,8450,8320,8125,9108,9194,9034,8899,8812,8813,8765,8676
13,167,8328,8348,8293,8293,"Georgia","Johnson",8558,8474,8921,8906,9025,8893,8970,9414,9435,9300,9986,9999,10004,9900,9803,9708,9660,9737,9706,9643
13,169,22245,22607,22997,23307,"Georgia","Jones",23699,24160,24679,25401,26102,26652,26924,27279,27684,27740,28646,28740,28624,28576,28652,28441,28574,28466,28680,28735
