"State","County","Year","Population","Total Damage","Population Change","Population Change Ratio","Expected Damage","Magic Number"
"Alabama","Autauga",1996,40251,29115,NA,NA,NA,NA
"Alabama","Autauga",1998,42193,39088,1942,1.04824724851556,40973.8884499764,1.04824724851556
"Alabama","Autauga",1999,43140,283717,947,1.02244448131207,290084.880904415,1.02244448131207
"Alabama","Autauga",2000,43872,297197,732,1.01696801112656,302239.842002782,1.01696801112656
"Alabama","Autauga",2001,44434,53727,562,1.01280999270605,54415.2424781182,1.01280999270605
"Alabama","Autauga",2003,45762,81274,1328,1.02988702345051,83703.0379439168,1.02988702345051
"Alabama","Autauga",2004,46933,10932,1171,1.02558891656833,11211.738035925,1.02558891656833
"Alabama","Autauga",2005,47870,25068,937,1.01996463043061,25568.4733556346,1.01996463043061
"Alabama","Autauga",2009,50756,1888595,2886,1.06028828076039,2002455.14560267,1.06028828076039
"Alabama","Baldwin",1996,124261,326735,NA,NA,NA,NA
"Alabama","Baldwin",1998,132857,1610463,8596,1.0691769742719,1721869.95751684,1.0691769742719
"Alabama","Baldwin",2001,144988,21781,12131,1.09130870033194,23769.7948019299,1.09130870033194
"Alabama","Baldwin",2003,151707,700641,6719,1.04634176621514,733109.941422738,1.04634176621514
"Alabama","Baldwin",2005,162564,343052,10857,1.07156558365797,367602.716605035,1.07156558365797
"Alabama","Baldwin",2007,172815,124003,10251,1.06305824167712,131822.411142688,1.06305824167712
"Alabama","Baldwin",2008,176212,32143,3397,1.01965685849029,32774.8304024535,1.01965685849029
"Alabama","Baldwin",2013,194885,82190,18673,1.10596894649627,90899.5877125281,1.10596894649627
"Alabama","Baldwin",2014,199183,29246467,4298,1.02205403186495,29891469.5151551,1.02205403186495
"Alabama","Baldwin",2016,207601,10677,8418,1.04226264289623,11128.2382382031,1.04226264289623
"Alabama","Baldwin",2017,212521,711493,4920,1.0236993078068,728354.891609385,1.0236993078068
"Alabama","Barbour",1998,26936,171990,NA,NA,NA,NA
"Alabama","Barbour",2001,29223,36302,2287,1.08490495990496,39384.2198544699,1.08490495990496
"Alabama","Barbour",2004,29458,4099,235,1.00804161105978,4131.96256373405,1.00804161105978
"Alabama","Barbour",2009,29737,35858,279,1.00947111141286,36197.6151130423,1.00947111141286
"Alabama","Bibb",1996,18256,51760,NA,NA,NA,NA
"Alabama","Bibb",1998,18987,65668,731,1.04004163014899,68297.453768624,1.04004163014899
"Alabama","Bibb",2001,20942,4356,1955,1.10296518670669,4804.51635329436,1.10296518670669
"Alabama","Bibb",2004,21208,2733,266,1.01270174768408,2767.71387642059,1.01270174768408
"Alabama","Bibb",2005,21375,5277,167,1.00787438702376,5318.55314032441,1.00787438702376
"Alabama","Bibb",2009,21587,210374,212,1.00991812865497,212460.516397661,1.00991812865497
"Alabama","Blount",1997,44897,71254,NA,NA,NA,NA
"Alabama","Blount",1998,46292,78177,1395,1.03107111833753,80606.0468182729,1.03107111833753
"Alabama","Blount",1999,47411,7668,1119,1.02417264322129,7853.35582822086,1.02417264322129
"Alabama","Blount",2000,51181,37149,3770,1.07951741157115,40102.9923224568,1.07951741157115
"Alabama","Blount",2001,51999,21781,818,1.01598249350345,22129.1146909986,1.01598249350345
"Alabama","Blount",2003,53726,95286,1727,1.03321217715725,98450.655512606,1.03321217715725
"Alabama","Blount",2004,54469,68327,743,1.01382943081562,69271.9235193389,1.01382943081562
"Alabama","Blount",2005,55035,39583,566,1.01039123170978,39994.3161247682,1.01039123170978
"Alabama","Blount",2009,58345,239062,3310,1.06014354501681,253440.036158808,1.06014354501681
"Alabama","Blount",2010,57376,5877,-969,0.983391893049961,5779.39415545462,0.983391893049961
"Alabama","Blount",2011,57560,5682,184,1.0032069157836,5700.22169548243,1.0032069157836
"Alabama","Bullock",1998,11325,101630,NA,NA,NA,NA
"Alabama","Bullock",2003,11305,11210,-20,0.998233995584989,11190.2030905077,0.998233995584989
"Alabama","Bullock",2004,11038,2733,-267,0.976382131800088,2668.45236620964,0.976382131800088
"Alabama","Bullock",2009,10985,131484,-53,0.995198405508244,130852.667149846,0.995198405508244
"Alabama","Butler",1997,21769,2375,NA,NA,NA,NA
"Alabama","Butler",1998,21658,1250845,-111,0.994901006017732,1244466.94887225,0.994901006017732
"Alabama","Butler",1999,21522,4600,-136,0.993720565149137,4571.11459968603,0.993720565149137
"Alabama","Butler",2001,21036,29042,-486,0.977418455533872,28386.1867856147,0.977418455533872
"Alabama","Butler",2015,20162,647690,-874,0.958452177220004,620779.890663624,0.958452177220004
"Alabama","Calhoun",1998,117083,46906,NA,NA,NA,NA
"Alabama","Calhoun",1999,116541,10735,-542,0.995370805326136,10685.3055951761,0.995370805326136
"Alabama","Calhoun",2002,110860,11468,-5681,0.951253207025854,10908.9717781725,0.951253207025854
"Alabama","Calhoun",2003,111378,1057966,518,1.00467255998557,1062909.40959769,1.00467255998557
"Alabama","Calhoun",2004,111615,32796,237,1.00212788881108,32865.786241448,1.00212788881108
"Alabama","Calhoun",2005,112081,7916,466,1.00417506607535,7949.04982305246,1.00417506607535
"Alabama","Calhoun",2008,113422,17858,1341,1.01196456134403,18071.6631364817,1.01196456134403
"Alabama","Calhoun",2009,114081,5976,659,1.00581016028636,6010.72151787131,1.00581016028636
"Alabama","Calhoun",2010,118408,11755,4327,1.03792919066277,12200.8576362409,1.03792919066277
"Alabama","Chambers",1996,36857,24262,NA,NA,NA,NA
"Alabama","Chambers",1998,36706,39088,-151,0.995903084895678,38927.8597824023,0.995903084895678
